id,Торг_точка_чистый_адрес
640,"РО, с.Тюльпаны пер.Центральный 7, м-н "Ангелина""
641,"353250 Краснодар кр ст Новодмитриевская ул Горького 96"
642,"353250 Краснодар.кр. ст.Новодмитриевская ул.Горького 96"
643,"353250,Краснодар.кр.,ст.Новодмитриевская,ул.Горького, 96"
644,"г.Ростов/Дон ул.Спартаковская 3"
645,"г.Ростов/Дон ул.Спартаковская,3"
646,"г Батайск Коммунистический 86"
647,"г.Батайск Коммунистический 86"
648,"г.Батайск Коммунистический,86"
649,"г.Ростов н/Д,ул.Добровольского 20/1"
650,"г.Ростов н/Д ул.Добровольского 20/1"
651,"г Ростов-на-Дону ул 40 лет Победы 67/2"
652,"г Ростов-на-Дону ул М Горького д 28/41"
653,"г. Ростов-на-Дону, ул 40 лет Победы, 67/2"
654,"г. Ростов-на-Дону, пр. Космонавтов 16/32"
655,"г. Ростов-на-Дону пр. Космонавтов 16/32"
656,"г Ростов/Дон ул Социалистическая 74"
657,"г.Ростов/Дон ул. Социалистическая 74"
658,"ул Социалистическая 103/39"
659,"ул.Социалистическая 103/39"
660,"344058,г.Ростов-на-Дону,улДоватора,160/1"
661,"344058 г Ростов-на-Дону улДоватора 160/1"
662,"344058 г.Ростов-на-Дону улДоватора 160/1"
663,"г.Крымск ,ул Торговая 6"
664,"г Крымск ул Торговая 6"
665,"г.Ставрополь, ул.Лермонтова, 121"
666,"г.Ростов-на-Дону ул.Темерницкая 32"
667,"г.Ростов н/Д, ул. Серафимовича 38/33"
668,"г Ростов/н/Д ул 40-лет Победы 85/1"
669,"г. Ростов/н/Д ул.40-лет Победы 85/1"
670,"г. Ростов/н/Д, ул.40-лет Победы 85/1"
671,"г Аксай Вартанова 12/б"
672,"г.Аксай Вартанова 12/б"
673,"г.Аксай Вартанова,12/б"
674,"ст Старощербиновская ул Первомайская 149"
675,"ст.Старощербиновская ул.Первомайская 149"
676,"г.Ростов-на-Дону, ул. Ульяновская 41\Газетный 13"
677,"г Новочеркасск Бердичевского 8"
678,"г.Шахты пер.Шишкина 153 А"
679,"г Ростов-на-Дону ул Еременко 66\5"
680,"г.Ростов-на-Дону ул. Еременко 66\5"
681,"г Волгодонск ул Бетонная 1"
682,"г.Волгодонск ул. Бетонная 1"
683,"г.Волгодонск, ул. Бетонная, 1"
684,"г Ростов-на-Дону ул Курчатова 6а"
685,"г. Ростов-на-Дону ул. Курчатова 6а"
686,"г. Ростов-на-Дону ул. Курчатова,6а"
687,"385000 Адыгея Респ Майкоп г Пролетарская ул. 210; центр. рынок"
688,"с.Большая Мартыновка ул.Ленина 41"
689,"г.Таганрог ул.Ленина 224"
690,"г Новороссийск ул Вруцкого 8"
691,"г.Новороссийск ул.Волгоградская 44"
692,"г.Новороссийск, ул. Героев Десантников, 23"
693,"г.Новороссийск ул. Молодежная 28 А"
694,"г.Новороссийск, ул. Молодежная, 28 А"
695,"г.Новороссийск ул.Южная 21"
696,"Азовский р-н х.Павло-Очаковская Коса база Ассоль"
697,"РО Азовский р-н с. Пешково ул. Шолохова 3/2"
698,"РО, Азовский р-н, с. Пешково, ул. Шолохова, 3/2"
699,"г Ростов/Дон Капустина 18/3"
700,"г.Ростов/Дон Капустина 18/3"
701,"г.Ростов/Дон Капустина,18/3"
702,"г Темрюк ул Бувина 173"
703,"г. Темрюк, ул. Бувина, 173"
704,"г. Азов ул. Ленина 10"
705,"г Темрюк ул Ленина Терлецкий р-к место №30"
706,"г.Темрюк ул. Ленина Терлецкий р-к место №30"
707,"г.Темрюк, ул. Ленина, Терлецкий р-к, место №30"
708,"г Ростов-на-Дону пр Сельмаш 11"
709,"Черепахина 312/а"
710,"Черепахина,312/а"
711,"г.Ростов-на-Дону пр.Сельмаш 11"
712,"РнД ул. Королёва 27/б"
713,"РнД ул. Королёва,27/б"
714,"Ростов-на-Дону, ул. Королёва, 27/б"
715,"г.Батайск 50-Лет Октября,68"
716,"г.Батайск 50-Лет Октября 68"
717,"Темрюкский р-н п Приморский ул 255 Таманский Дивизии 44 маг "У Степан"
718,"г.Таганрог, ул. Выгонная"
719,"РнД ул. 20я Линия 76/88"
720,"г.Ростов-на-Дону ул.Пахотная 108"
721,"г.Ростов-на-Дону, ул.Пахотная, 108"
722,"г Азов Черноморский 62 б"
723,"г.Азов Черноморский 62 б"
724,"г.Азов, Черноморский, 62 б"
725,"г Ростов-на-Дону Станиславского 57"
726,"г.Ростов-на-Дону Станиславского 57"
727,"г.Ростов-на-Дону, Станиславского, 57"
728,"г Ростов-н-Д ул Обороны 77"
729,"г.Ростов-н-Д ул .Обороны 77"
730,"г.Ростов-н-Д, ул .Обороны, 77"
731,"г Азов ул Ленинградская 80"
732,"г Ростов-на-Дону ул Погодина 20/43"
733,"г.Ростов-на-Дону ул.Погодина 20/43"
734,"г Батайск ул Комсомольская 74"
735,"г.Батайск ул.Комсомольская 74"
736,"г.Батайск Цимлянское/Литовская"
737,"г Майкоп ул Пролетарская 238"
738,"г Майкоп,ул Пролетарская 238"
739,"г.Новороссийск ул.Пионерская 23"
740,"г.Армавир, ул .Ефремова, 101"
741,"г Аксай пл Героев ул Советская 1/а"
742,"г.Аксай пл.Героев ул.Советская 1/а"
743,"г.Аксай,пл.Героев,ул.Советская 1/а"
744,"г Ростов-на-Дону 6-я Линия 22"
745,"г.Ростов-на-Дону, 6-я Линия, 22"
746,"г. Ростов-на-Дону, ул. Вятская 47,пав. "Хлеб""
747,"г.Азов, ул. Мира 19/31"
748,"г Азов ул Кирова 131Б"
749,"г.Азов ул.Кирова 131Б"
750,"г.Анапа проезд Промышленный 5"
751,"г Константиновск ул Комсомольская 107 маг "Продукты""
752,"г. Константиновск ул. Комсомольская 107 маг. "Продукты""
753,"г. Константиновск, ул. Комсомольская, 107 маг. "Продукты""
754,"г Ростов-на-Дону ЖК Суворовский ул Платона Кляты 1"
755,"г.Ростов-на-Дону ул. Таганрогская 124 рынок"
756,"г.Ростов-на-Дону, ул. Таганрогская, 124 рынок"
757,"г.Ростов-н-Д, ул.Саратовская 4"
758,"г.Ростов-н-Д ул.Саратовская 4"
759,"г Ростов-на-Дону ул Ларина 9/1"
760,"г. Ростов-на-Дону, ул.Ларина 9/1"
761,"г Таганрог ул Дзержинского 37/1"
762,"г.Таганрог ул.Дзержинского 37/1"
763,"г Аксай Луначарского 80"
764,"г. Ростов-на-Дону, пр.Космонавтов, р-к "Квадро""
765,"г.Анапа п.Сукко пер.Речная 2"
766,"г.Анапа п.Сукко ул.Центральная 2"
767,"г.Анапа с.Варваровка ул.Калинина 73"
768,"г Анапа п Сукко ул Советская 103 Б"
769,"г.Анапа п.Сукко ул.Советская 103 Б"
770,"г.Новочеркасск ул. Петрова 23"
771,"г.Новочеркасск, ул. Петрова, 23"
772,"г.Ростов-на-Дону, Можайская 38/1"
773,"344092 г Ростов-на-Дону пр Королева 4 Б"
774,"344092 г.Ростов-на-Дону пр. Королева 4 Б"
775,"344092, г.Ростов-на-Дону, пр. Королева 4 Б"
776,"Аксайский р-н п Российский ул Молодёжная 73"
777,"Аксайский р-н п.Российский ул.Молодёжная 73"
778,"г Батайск ул Ленинградская 165"
779,"г.Батайск ул.Ленинградская 165"
780,"г.Батайск, ул.Ленинградская,165"
781,"РО, г. Семикаракорск, ул. Строителей, 28"
782,"РО г Семикаракорск ул Авилова (Пикет 4)"
783,"РО, г. Семикаракорск, ул. Авилова (Пикет 4)"
784,"РО г Семикаракорск ул Строителей 28"
785,"РО г. Семикаракорск ул. Строителей 28"
786,"г. Ростов/Дон ул. Фасадная 99"
787,"г. Ростов/Дон ул.Орская 58"
788,"г. Ростов-на-Дону, ул. Фасадная 99"
789,"г.Ростов-на-Дону пр.Космонавтов 34 А"
790,"г.Анапа ул.Ленина 15"
791,"Р/Д ул Немировича-Данченко 78/6"
792,"350072 г Краснодар ул им 40 лет Победы д 34 ТЦ "ОСКАР""
793,"350072 г. Краснодар ул.им.40 лет Победы д.34 ТЦ "ОСКАР""
794,"350072,г. Краснодар, ул.им.40 лет Победы, д.34 ТЦ "ОСКАР""
795,"г Краснодар ул Клары Лучко 12 м-н Фреш"
796,"г.Краснодар ул.Клары Лучко 12 м-н Фреш"
797,"Темрюкский р-н х Белый Дружбы 37"
798,"Темрюкский р-н, х Белый, Дружбы 37"
799,"г.Батайск. Авиагородок рынок Елена 2(место 44)"
800,"г.Ростов/Дон ул.Орбитальная 9/Беляева"
801,"Кагальницкое шоссе 11"
802,"Кагальницкое шоссе, 11"
803,"350072, г.Краснодар, ул.Ростовское шоссе, 29"
804,"г Аксай пос Реконструктор ул Транспортная 12"
805,"г.Аксай пос.Реконструктор ул. Транспортная 12"
806,"г.Аксай, пос.Реконструктор, ул. Транспортная 12"
807,"с Пешково ул К Маркса 35А"
808,"г.Таганрог 6-й линейный проезд 179"
809,"г.Таганрог ул.Бакинская 8"
810,"г.Ростов-на-Дону ул.Волкова 3/4"
811,"г Ростов/Дон пл Привокзальная 6"
812,"г.Ростов/Дон пл.Привокзальная,6"
813,"г Краснодар ул Просторная 11"
814,"г. Краснодар, ул.Просторная 11"
815,"РО пос. Мартыновка ул. Зыгина 10"
816,"РО, пос. Мартыновка, ул. Зыгина, 10"
817,"РО пос Мартыновка ул Ковалева 106"
818,"РО пос.Мартыновка ул. Ковалева 106"
819,"РО, пос.Мартыновка, ул. Ковалева, 106"
820,"РО, Константиновский р-н, х. Ведерников, ул. Южная, 5"
821,"РО г Константиновск ул Коммунистическая 85"
822,"РО г. Константиновск ул.Коммунистическая 85"
823,"РО,г. Константиновск ул.Коммунистическая 85"
824,"РО, г.Константиновск, ул. Топилина, 37"
825,"г Азов пос Ясный ул Чукотская 32"
826,"г.Азов пос.Ясный ул Чукотская 32"
827,"г.Азов, пос.Ясный, ул Чукотская, 32"
828,"г Симферополь ул им Героев Сталинграда д 35 кв 50"
829,"г.Симферополь, ул. им.Героев Сталинграда, д.35, кв.50"
830,"г.Новороссийск ул.Хворостянского 1/13"
831,"г Батайск ул М Горького 532(маг Слобода)"
832,"г. Батайск ул. М. Горького 532(маг. Слобода)"
833,"г. Батайск, ул. М. Горького, 532(маг. Слобода)"
834,"г.Шахты ул.Чернокозова 140"
835,"г Таганрог ул Петровская 6"
836,"г.Таганрог, ул. Петровская, 6"
837,"г.Таганрог ул. Петровская 6"
838,"г.Таганрог ул.Щаденко 1 А"
839,"г. Таганрог ул. Чехова 337 (маг. Иванка)"
840,"г. Таганрог, ул. Чехова, 337 (маг. Иванка)"
841,Б/А
842,"394031, г.Воронеж ул.Грамши д.70"
843,"394031 г Воронеж ул Грамши д 70"
844,"394031 г.Воронеж ул.Грамши д.70"
845,"Ейский р-он,ст.Старощербиновская ул.Чкалова 109"
846,"3533456 Россия Краснодарский кр г Анапа Пионерский пр-т 255/2"
847,"3533456,Россия,Краснодарский кр,г Анапа,Пионерский пр-т 255/2"
848,"Анапский р-н п.Супсех ул.Советская 55"
849,"358014, г.Элиста, 8 микрор-н, маг."Универсам""
850,"г Ростов-на-Дону ул Черепахина 72а"
851,"г. Ростов-на-Дону ул. Черепахина 72а"
852,"г. Ростов-на-Дону, ул. Черепахина, 72а"
853,"г. Ростов-на-Дону, ул. Семашко 85"
854,"г Каменск-Шахтинский ул Героев-Пионеров 87 А"
855,"г.Каменск-Шахтинский ул. Героев-Пионеров 87 А"
856,"г.Каменск-Шахтинский, ул. Героев-Пионеров, 87 А"
857,"г.Каменск-Шахтинский ул К.Маркса 54"
858,"г.Каменск-Шахтинский, ул К.Маркса 54"
859,"г.Каменск-Шахтинский, ул. Гагарина 71 А"
860,"г.Каменск-Шахтинский ул.Советская 35"
861,"г.Каменск-Шахтинский ул. Щаденко 104"
862,"г.Каменск-Шахтинский, ул. Щаденко, 104"
863,"г Ростов-на-Дону ул Мачтовая 3"
864,"г.Ростов-на-Дону ул.Мачтовая 3"
865,"г.Ростов-на-Дону ул.Литвинова 28"
866,"г Ростов-на-Дону ул Горшкова 6 А"
867,"г.Ростов-на-Дону, ул. Горшкова, 6 А"
868,"г Азов ул Привокзальная 2/а"
869,"г.Ростов-на-Дону, ул.Соколова, 39"
870,"г Ростов-на-Дону ул Соколова 39"
871,"г.Ростов-на-Дону ул.Соколова 39"
872,"г Новороссийск с Мысхако ул Изумрудная 61"
873,"г. Таганрог, пер. 7й Новый, 98"
874,"Р/Д ул Орбитальная 40"
875,"Р/Д ул. Орбитальная 40"
876,"г Ростов-на-Дону ул Жданова 1/5"
877,"г.Ростов-на-Дону ул.Жукова 30/95"
878,"г.Ростов-на-Дону ул.Капустина 26/1"
879,"Капустина 26\1"
880,"г Ростов-на-Дону ул Маршала Жукова 30/95"
881,"г.Ростов-на-Дону ул.Маршала Жукова 30/95"
882,"п.Витязево, ул. Светлая, 3"
883,"г.Азов, ул.Толстого"
884,"г Ростов-на-Дону Вавилова 10 А"
885,"г.Ростов-на-Дону Вавилова 10 А"
886,"г.Ростов-на-Дону, Вавилова, 10 А"
887,б\а
888,"Азовский р-он с Кагальник ул Кирова 34"
889,"Азовский р-он с.Кагальник ул.Кирова 34"
890,"Азовский р-он, с.Кагальник, ул.Кирова 34"
891,"г. Азов, Центральный р-к, сектор 7,м. 59 (крупа мешками)"
892,"г Ростов-на-Дону ул Обороны 32"
893,"г.Ростов-на-Дону ул.Обороны 32"
894,"Староминской р-он, ст.Староминская ул.Кирова 154 Б"
895,"г Батайск Торговое кольцо овощной рынок маг "Чай Кофе ""
896,"г.Батайск Торговое кольцо овощной рынок маг."Чай Кофе ""
897,"г.Батайск Торговое кольцо, овощной рынок маг."Чай Кофе ""
898,"с Самарское Зеленый Гай ул Жданова 63"
899,"с.Самарское Зеленый Гай ул.Жданова 63"
900,"с.Самарское, Зеленый Гай, ул.Жданова,63"
901,"РО Семик.р-н п.Мечетный ул.Октябрьская 20 А"
902,"г.Новочеркасск Харьковское шоссе 4б"
903,"г.Новочеркасск, Харьковское шоссе, 4б"
904,"г. Керчь,ул. Советская 4, маг. Здоровое питание"
905,"г Батайск пр Коммунистический 46б"
906,"г. Батайск, пр. Коммунистический, 46б"
907,"г.Ростов-на-Дону Космонавтов 30/22"
908,"г. Батайск, Северный 3/9 /маг. Белый Лотос/"
909,"г. Ростов-на-Дону ул. Таганрогская 223"
910,"г. Ростов-на-Дону, ул. Таганрогская, 223"
911,"г.Новороссийск, ул.Героев Десантников,2, Южный р-к,пав.5, место 10"
912,"п Ново-Александровка Ленина 67а"
913,"п.Ново-Александровка Ленина 67а"
914,"п.Ново-Александровка,Ленина,67а"
915,"г.Элиста ул. 28-Армии 42 м-н Продукты"
916,"357500, СК, г.Пятигорск ул.Захарова 8"
917,"г. Ростов-на-Дону ул. Жмайлова 4/11"
918,"г. Ростов-на-Дону, ул. Жмайлова,4/11"
919,"г.Азов Ц.Рынок Диетическое питание"
920,"г.Азов, Ц.Рынок, Диетическое питание"
921,"г.Азов, Ц.Рынок,За стеклом"
922,"347902 г.Таганрог ул.Свободы 12 маг."Молоко""
923,"347902, г.Таганрог, ул.Свободы, 12, маг."Молоко""
924,"г Батайск ул Сальская д 44"
925,"г.Батайск ул.Сальская д.44"
926,"г.Батайск ул.Горького 720"
927,"г Аксай ул Советская"
928,"г.Аксай,ул.Советская"
929,"г.Аксай ул.Советская"
930,"г.Таганрог, ул. МЕНДЕЛЕЕВА 117/3"
931,"г.Краснодар Проспект Чекистов 15/2"
932,"г.Ростов-на-Дону пр. Кировский 57"
933,"г.Азов пос.Мичуринец Победы 2 А"
934,"г.Семикаракорск 18-й переулок 36"
935,"г.Ростов-на-Дону, ул. Штахановского, 9"
936,"г Ростов-на-Дону ул Штахановского 9"
937,"г.Ростов-на-Дону ул. Штахановского 9"
938,"г. Семикаракорск, Орджоникидзе, 38/5"
939,"г. Таганрог, ул. Дзержинского 191, маг. "Чайная лавка""
940,"г.Азов ул Победы 3"
941,"г Новороссийск пр-т Ленина 107"
942,"Краснодарский край г Анапа ул Кавказская 47"
943,"Краснодарский край, г.Анапа ул.Кавказская 47"
944,"г. Сальск, ул. Димитрова, 56"
945,"г. Таганрог ул. Греческая д 48"
946,"г. Таганрог, ул. Греческая д,48"
947,"г.Ростов-на-Дону ул.Дачная2/1"
948,"г Ростов-на-Дону ул Таганрогская 225"
949,"г.Ростов-на-Дону ул.Таганрогская 225"
950,"Краснод.край г.Анапа с.Витязево ул.Горького 33 Б"
951,"РО, п.Головатовка, Октябрьская 41"
952,"г.Батайск ул.Кирова 3 А"
953,"г. Константиновск ул. Комарова 47г(маг. Перекресток)"
954,"г. Константиновск, ул. Комарова, 47г(маг. Перекресток)"
955,"г.Таганрог ул.Петровская 55 А"
956,"г.Новороссийск ул.Южная 3."
957,"г Азов ул Ленина 130"
958,"г.Азов, ул.Севостопольская, 71"
959,"г Ростов-на-Дону Вересаева 105/3"
960,"г.Ростов-на-Дону, Вересаева, 105/3"
961,"г Азов ул Московская 104"
962,"г. Азов ул. Московская 104"
963,"г. Азов, ул. Московская, 104"
964,БА
965,"РО, Ремонтненский р-н.,с.Ремонтное ул.Октябрьская 89, м-н"Атлант""
966,"Азовский р-н пос. Каяльский ул. Мичурина 1"
967,"Азовский р-н, пос. Каяльский, ул. Мичурина,1"
968,"г. Ростов-на-Дону, ул. Богданова, 21"
969,"г.Анапа, п. Витязево, ул.Черноморская 171"
970,"г Ростов-на-Дону,Чехова 9"
971,"г.Ростов/Дон ул.Троллейбусная,10"
972,"г.Ростов/Дон ул.Троллейбусная 10"
973,"г.Ростов-на-Дону ул.Индустриальная р-к Атлант пав№10"
974,"г Астрахань, ул Марфинская 15"
975,"г Азов Маяковский 28"
976,"г.Азов Маяковский 28"
977,"г.Азов, Маяковский,28"
978,"г Батайск 50-лет Октября 220"
979,"г.Батайск 50-лет Октября 220"
980,"г.Батайск, 50-лет Октября, 220"
981,"г.Батайск, ул.Заводская\Калинина"
982,"г Батайск ул Садовая 56"
983,"г. Батайск ул. Садовая 56"
984,"г. Батайск, ул. Садовая, 56"
985,"Темрюкский р-н пос Стрелка ул Чапаева 12 А"
986,"Темрюкский р-н, пос. Стрелка, ул. Чапаева, 12 А"
987,"пос.Стрелка ул.Ленина 4а"
988,"ст.Старотитаровская ул.Коммунистическая 70"
989,"г Таганрог пер Безымяный 3"
990,"г.Таганрог пер. Безымяный 3"
991,"г.Таганрог, пер. Безымяный, 3"
992,"г.Таганрог ул.Дзержинского 142 Б"
993,"г.Таганрог, ул.Октябрьская, 44/3, м-н "Лазурный""
994,"г.Ростов-на-Дону, ул. 2-ой Пятилетки, 12/1"
995,"г.Ростов-на-Дону, ул. Орбитальная, 88/1"
996,"353970, г. Новороссийск, п. Верхнебаканский, ул. Титан, 1"
997,"353970 г Новороссийск п Верхнебаканский ул Титан 1"
998,"г.Ростов-на-Дону ул. Авиаматорная 9 А"
999,"г.Аксай ул.Советская 6"
1000,"г Ростов-на-Дону г 40-лет Победы 97"
